Name	Female?	Over 20?	Lives in our world?	Outer space?	Has sidekick?	Human?	Special Powers?	Leads a group?	Has a quest?	Narrates?	Part of a series?	Dies in story?	Kills a family member?
Samwise Gamgee	No	Yes	No	No	No	No	No	No	Yes	No	Yes	No	No
Frodo Baggins	No	Yes	No	No	Yes	No	No	Yes	Yes	No	Yes	No	No
Bilbo Baggins	No	Yes	No	No	No	No	No	No	Yes	No	Yes	No	No
Pippin Took	No	Yes	No	No	Yes	No	No	No	Yes	No	Yes	No	No
Gandalf	No	Yes	No	No	No	No	Yes	Yes	Yes	No	Yes	Yes	No
Aragorn	No	Yes	No	No	No	Yes	No	Yes	Yes	No	Yes	No	No
Legolas	No	Yes	No	No	No	No	Yes	No	Yes	No	Yes	No	No
Gimli	No	Yes	No	No	No	No	No	No	Yes	No	Yes	No	No
Harry Potter	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No
Ron Weasley	No	No	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes	No	No
Jay Gatsby	No	Yes	Yes	No	No	Yes	No	No	No	No	No	Yes	No
Elizabeth Bennett	Yes	No	Yes	No	No	Yes	No	No	No	No	No	No	No
Huckleberry Finn	No	No	Yes	No	No	Yes	No	Yes	No	No	No	No	No
Nick Carraway	No	Yes	Yes	No	No	Yes	No	No	No	Yes	No	No	No
Jordan Baker	Yes	Yes	Yes	No	No	Yes	No	No	No	No	No	No	No
Quentin Compson	No	Yes	Yes	No	No	Yes	No	No	No	Yes	Yes	Yes	No
Quentin Compson	Yes	No	Yes	No	No	Yes	No	No	No	No	No	No	No
Aeneas	No	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	No	No	No
Dumbledore	No	Yes	Yes	No	No	Yes	Yes	No	Yes	No	Yes	Yes	No
Rorschach	No	Yes	Yes	No	No	Yes	No	No	No	No	No	Yes	No
Dr. Manhattan	No	Yes	Yes	Yes	No	No	Yes	No	No	No	No	No	No
Adrian Veidt	No	Yes	Yes	No	No	Yes	No	No	No	No	No	No	No
Scout Finch	Yes	No	Yes	No	No	Yes	No	No	No	Yes	No	No	No
Don Quixote	No	Yes	Yes	No	Yes	Yes	No	No	Yes	No	No	Yes	No
Sancho Panza	No	Yes	Yes	No	No	Yes	No	No	Yes	No	No	No	No
Aldonza	Yes	Yes	Yes	No	No	Yes	No	No	No	No	No	No	No
Leopold Bloom	No	Yes	Yes	No	No	Yes	No	No	No	No	No	No	No
Lady Macbeth	Yes	Yes	Yes	No	No	Yes	No	No	No	No	No	Yes	No
Macbeth	No	Yes	Yes	No	No	Yes	No	No	No	No	No	Yes	No
Romeo	No	No	Yes	No	Yes	Yes	No	Yes	No	No	No	Yes	No
Juliet	Yes	No	Yes	No	No	Yes	No	No	No	No	No	Yes	No
Shylock	No	Yes	Yes	No	No	Yes	No	No	No	No	No	No	No
Sherlock Holmes	No	Yes	Yes	No	Yes	Yes	No	No	No	No	Yes	No	No
Lucy Pevensie	Yes	No	No	No	No	Yes	No	No	Yes	No	Yes	No	No
Edmund Pevensie	No	No	No	No	No	Yes	No	No	Yes	No	Yes	No	No
Peter Pevensie	No	No	No	No	No	Yes	No	Yes	Yes	No	Yes	No	No
Susan Pevensie	Yes	No	No	No	No	Yes	No	No	Yes	No	Yes	No	No
Aslan	No	Yes	No	No	No	No	Yes	No	No	No	Yes	Yes	No
Treebeard	No	Yes	No	No	No	No	No	No	No	No	Yes	No	No
Caliban	No	Yes	Yes	No	No	Yes	No	No	No	No	No	No	No
John Watson	No	Yes	Yes	No	No	Yes	No	No	No	No	Yes	No	No
Humbert Humbert	No	Yes	Yes	No	No	Yes	No	No	No	No	No	No	No
Artemis Fowl	No	No	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	No	No
Batman	No	Yes	Yes	No	Yes	Yes	No	No	Yes	No	Yes	No	No
Superman	No	Yes	Yes	Yes	No	No	Yes	No	No	No	Yes	No	No
Catwoman	Yes	Yes	Yes	No	No	Yes	No	No	No	No	Yes	No	No
Spiderman	No	Yes	Yes	No	No	Yes	Yes	No	No	No	Yes	No	No
The Green Lantern	No	Yes	Yes	No	No	Yes	No	No	No	No	Yes	No	No
The Hulk	No	Yes	Yes	No	No	Yes	Yes	No	No	No	Yes	No	No
Iron Man	No	Yes	Yes	No	No	Yes	No	No	No	No	Yes	No	No
Minerva McGonagall	Yes	Yes	Yes	No	No	Yes	Yes	No	No	No	Yes	No	No
Pippi Longstocking	Yes	No	Yes	No	No	Yes	No	No	No	No	No	No	No
Calpurnia	Yes	Yes	Yes	No	No	Yes	No	No	No	No	No	No	No
Atticus Finch	No	Yes	Yes	No	No	Yes	No	No	No	No	No	No	No
Jem Finch	No	No	Yes	No	No	Yes	No	No	No	No	No	No	No
Boo Radley	No	Yes	Yes	No	No	Yes	No	No	No	No	No	No	No
Tom Buchanan	No	Yes	Yes	No	No	Yes	No	No	No	No	No	No	No
Daisy Buchanan	Yes	Yes	Yes	No	No	Yes	No	No	No	No	No	No	No
Galadriel	Yes	Yes	No	No	No	No	Yes	No	No	No	Yes	No	No
Goldberry	Yes	Yes	No	No	No	No	Yes	No	No	No	Yes	No	No
Tom Bombadil	No	Yes	No	No	No	No	Yes	No	No	No	Yes	No	No
Qwilleran	No	Yes	Yes	No	Yes	Yes	No	No	No	No	Yes	No	No
Pip	No	No	Yes	No	No	Yes	No	No	Yes	Yes	No	No	No
Mrs. Joe	Yes	Yes	Yes	No	No	Yes	No	No	No	No	No	Yes	No
Estella	Yes	No	Yes	No	No	Yes	No	No	No	No	No	No	No
Stella	Yes	Yes	Yes	No	No	Yes	No	No	No	No	No	No	No
Raskolnikov	No	Yes	Yes	No	No	Yes	No	No	No	Yes	No	No	No
Beowulf	No	Yes	Yes	No	No	Yes	No	No	Yes	Yes	No	No	No
Grendel	No	Yes	Yes	No	No	No	No	No	No	No	No	Yes	No
Fluffy	No	No	Yes	No	No	No	No	No	No	No	Yes	No	No
Norbert	No	No	Yes	No	No	No	No	No	No	No	Yes	No	No
Hedwig	Yes	No	Yes	No	No	No	No	No	No	No	Yes	Yes	No
Crookshanks	No	No	Yes	No	No	No	No	No	No	No	Yes	No	No
Shadowfax	No	Unknown	No	No	No	No	Yes	No	No	No	Yes	No	No
Misty of Chincoteague	Yes	No	Yes	No	No	No	No	No	No	No	Yes	No	No
Wilbur	No	Yes	Yes	No	Yes	No	No	No	No	No	No	No	No
Charlotte the spider	Yes	No	Yes	No	No	No	No	No	No	No	No	Yes	No
Fern Arable	Yes	No	Yes	No	No	Yes	No	No	No	No	No	No	No
Stuart Little	No	No	Yes	No	No	No	No	No	No	No	No	No	No
Mr. Fox	No	No	Yes	No	No	No	No	No	No	No	No	No	No
Luna Lovegood	Yes	No	Yes	No	No	Yes	Yes	No	No	No	Yes	No	No
Black Beauty	No	No	Yes	No	No	No	No	No	No	Yes	No	No	No
Luke Skywalker	No	Yes	No	Yes	No	Yes	No	Yes	Yes	No	Yes	No	Yes
Princess Leia	Yes	Yes	No	Yes	No	Yes	No	No	Yes	No	Yes	No	No
Kyle Katarn	No	Yes	No	Yes	No	Yes	No	No	Yes	No	Yes	No	No
Han Solo	No	Yes	No	Yes	Yes	Yes	No	Yes	Yes	No	Yes	No	No
Darth Maul	No	Yes	No	Yes	No	Unknown	No	No	Yes	No	Yes	Yes	No
Darth Vader	No	Yes	No	Yes	No	Yes	No	Yes	Yes	No	Yes	Yes	No
Obi-wan Kenobi	No	Yes	No	Yes	No	Yes	No	Yes	Yes	No	Yes	Yes	No
R2D2	Unknown	Unknown	No	Yes	Yes	No	No	No	No	No	Yes	No	No
